Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Marzo,Abril
2015,1,Aguascalientes,El patrimonio,Fraude,Fraude,Fraude,104,116
2015,1,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,31,22
2015,1,Aguascalientes,El patrimonio,Extorsión,Extorsión,Extorsión,1,5
2015,1,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,182,160
2015,1,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,13,14
2015,1,Aguascalientes,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,0,0
2015,1,Aguascalientes,La familia,Violencia familiar,Violencia familiar,Violencia familiar,26,41
2015,1,Aguascalientes,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0
2015,1,Aguascalientes,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,11,5
2015,1,Aguascalientes,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,1
2015,1,Aguascalientes,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,10,4
2015,1,Aguascalientes,La sociedad,Trata de personas,Trata de personas,Trata de personas,0,0
2015,1,Aguascalientes,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,0,0
2015,1,Aguascalientes,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,43,44
2015,1,Aguascalientes,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,87,123
2015,1,Aguascalientes,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,18,16
2015,1,Aguascalientes,Otros bienes jurídicos afectados (del fuero común),Evasión de presos,Evasión de presos,Evasión de presos,0,0
2015,1,Aguascalientes,Otros bienes jurídicos afectados (del fuero común),Falsedad,Falsedad,Falsedad,12,5
2015,1,Aguascalientes,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,26,24
2015,1,Aguascalientes,Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente,Contra el medio ambiente,1,0
2015,1,Aguascalientes,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,0,0
2015,1,Aguascalientes,Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales,Electorales,0,0
2015,1,Aguascalientes,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,65,84
2015,2,Baja California,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,33,42
2015,2,Baja California,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,6,6
2015,2,Baja California,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,9,11
2015,2,Baja California,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,8,1
2015,2,Baja California,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0
2015,2,Baja California,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0
2015,2,Baja California,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,23,28
2015,2,Baja California,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,7,6
2015,2,Baja California,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,1,0
2015,2,Baja California,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,0,0
2015,2,Baja California,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,0,0
2015,2,Baja California,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,0,0
2015,2,Baja California,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,1000,990
2015,2,Baja California,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0
2015,2,Baja California,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0
2015,2,Baja California,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,0,0
2015,2,Baja California,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,0,0
2015,2,Baja California,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,321,285
2015,2,Baja California,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,1,0
2015,2,Baja California,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,1
2015,2,Baja California,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,1,1
